LINHA 1: KEYWORD(inicio)
LINHA 2: KEYWORD(funcao)
LINHA 2: KEYWORD(real)
LINHA 2: IDENTIFIER(media)
LINHA 2: DELIMITER(()
LINHA 2: KEYWORD(real)
LINHA 2: IDENTIFIER(a)
LINHA 2: DELIMITER(;)
LINHA 2: KEYWORD(real)
LINHA 2: IDENTIFIER(b)
LINHA 2: DELIMITER())
LINHA 2: DELIMITER({)
LINHA 3: KEYWORD(retorne)
LINHA 3: DELIMITER(()
LINHA 3: IDENTIFIER(a)
LINHA 3: OPERATOR(+)
LINHA 3: IDENTIFIER(b)
LINHA 3: DELIMITER())
LINHA 3: OPERATOR(/)
LINHA 3: REAL(2,0)
LINHA 3: DELIMITER($)
LINHA 4: DELIMITER(})
LINHA 6: KEYWORD(funcao)
LINHA 6: KEYWORD(booleano)
LINHA 6: IDENTIFIER(passou)
LINHA 6: DELIMITER(()
LINHA 6: KEYWORD(real)
LINHA 6: IDENTIFIER(m)
LINHA 6: DELIMITER())
LINHA 6: DELIMITER({)
LINHA 7: KEYWORD(se)
LINHA 7: DELIMITER([)
LINHA 7: IDENTIFIER(m)
LINHA 7: OPERATOR(>=)
LINHA 7: DELIMITER(])
LINHA 7: KEYWORD(faz)
LINHA 7: DELIMITER({)
LINHA 8: KEYWORD(retorne)
LINHA 8: KEYWORD(sim)
LINHA 8: DELIMITER($)
LINHA 9: DELIMITER(})
LINHA 10: KEYWORD(retorne)
LINHA 10: KEYWORD(nao)
LINHA 10: DELIMITER($)
LINHA 11: DELIMITER(})
LINHA 13: KEYWORD(real)
LINHA 13: IDENTIFIER(p1)
LINHA 13: DELIMITER($)
LINHA 14: KEYWORD(real)
LINHA 14: IDENTIFIER(p2)
LINHA 14: DELIMITER($)
LINHA 15: KEYWORD(real)
LINHA 15: IDENTIFIER(m)
LINHA 15: DELIMITER($)
LINHA 16: KEYWORD(booleano)
LINHA 16: IDENTIFIER(ok)
LINHA 16: DELIMITER($)
LINHA 18: KEYWORD(mostre)
LINHA 18: DELIMITER(()
LINHA 18: STRING(’Digite a primeira nota: ’)
LINHA 18: DELIMITER())
LINHA 18: DELIMITER($)
LINHA 19: KEYWORD(leia)
LINHA 19: DELIMITER(()
LINHA 19: IDENTIFIER(p1)
LINHA 19: DELIMITER())
LINHA 19: DELIMITER($)
LINHA 20: KEYWORD(mostre)
LINHA 20: DELIMITER(()
LINHA 20: STRING(’Digite a segunda nota: ’)
LINHA 20: DELIMITER())
LINHA 20: DELIMITER($)
LINHA 21: KEYWORD(leia)
LINHA 21: DELIMITER(()
LINHA 21: IDENTIFIER(p2)
LINHA 21: DELIMITER())
LINHA 21: DELIMITER($)
LINHA 23: IDENTIFIER(m)
LINHA 23: ASSIGN(=)
LINHA 23: IDENTIFIER(media)
LINHA 23: DELIMITER(()
LINHA 23: IDENTIFIER(p1)
LINHA 23: DELIMITER(;)
LINHA 23: IDENTIFIER(p2)
LINHA 23: DELIMITER())
LINHA 23: DELIMITER($)
LINHA 24: IDENTIFIER(ok)
LINHA 24: ASSIGN(=)
LINHA 24: IDENTIFIER(passou)
LINHA 24: DELIMITER(()
LINHA 24: IDENTIFIER(m)
LINHA 24: DELIMITER())
LINHA 24: DELIMITER($)
LINHA 26: KEYWORD(mostre)
LINHA 26: DELIMITER(()
LINHA 26: STRING(’Media: ’)
LINHA 26: DELIMITER())
LINHA 26: DELIMITER($)
LINHA 27: KEYWORD(mostre)
LINHA 27: DELIMITER(()
LINHA 27: IDENTIFIER(m)
LINHA 27: DELIMITER())
LINHA 27: DELIMITER($)
LINHA 29: IDENTIFIER(ok)
LINHA 29: ASSIGN(=)
LINHA 29: IDENTIFIER(passou)
LINHA 29: DELIMITER(()
LINHA 29: REAL(7,5)
LINHA 29: DELIMITER())
LINHA 29: DELIMITER($)
LINHA 30: KEYWORD(se)
LINHA 30: DELIMITER([)
LINHA 30: IDENTIFIER(ok)
LINHA 30: OPERATOR(==)
LINHA 30: KEYWORD(sim)
LINHA 30: DELIMITER(])
LINHA 30: KEYWORD(faz)
LINHA 30: DELIMITER({)
LINHA 31: KEYWORD(mostre)
LINHA 31: DELIMITER(()
LINHA 31: STRING(’Situacao: aprovado’)
LINHA 31: DELIMITER())
LINHA 31: DELIMITER($)
LINHA 32: DELIMITER(})
LINHA 32: KEYWORD(senao)
LINHA 32: DELIMITER({)
LINHA 33: KEYWORD(mostre)
LINHA 33: DELIMITER(()
LINHA 33: STRING(’Situacao: reprovado’)
LINHA 33: DELIMITER())
LINHA 33: DELIMITER($)
LINHA 34: DELIMITER(})
LINHA 35: KEYWORD(fim)
