LINHA 1: KEYWORD(inicio)
LINHA 2: KEYWORD(inteiro)
LINHA 2: IDENTIFIER(estoque)
LINHA 2: DELIMITER($)
LINHA 3: KEYWORD(inteiro)
LINHA 3: IDENTIFIER(quantidade)
LINHA 3: DELIMITER($)
LINHA 4: KEYWORD(inteiro)
LINHA 4: IDENTIFIER(limite)
LINHA 4: DELIMITER($)
LINHA 5: KEYWORD(inteiro)
LINHA 5: IDENTIFIER(contador)
LINHA 5: DELIMITER($)
LINHA 6: KEYWORD(inteiro)
LINHA 6: IDENTIFIER(i)
LINHA 6: DELIMITER($)
LINHA 7: KEYWORD(real)
LINHA 7: IDENTIFIER(preco)
LINHA 7: DELIMITER($)
LINHA 8: KEYWORD(real)
LINHA 8: IDENTIFIER(total)
LINHA 8: DELIMITER($)
LINHA 9: KEYWORD(texto)
LINHA 9: IDENTIFIER(produto)
LINHA 9: DELIMITER($)
LINHA 11: IDENTIFIER(produto)
LINHA 11: ASSIGN(=)
LINHA 11: STRING(’Teclado’)
LINHA 11: DELIMITER($)
LINHA 12: IDENTIFIER(estoque)
LINHA 12: ASSIGN(=)
LINHA 12: INTEGER(25)
LINHA 12: DELIMITER($)
LINHA 13: IDENTIFIER(quantidade)
LINHA 13: ASSIGN(=)
LINHA 13: INTEGER(3)
LINHA 13: DELIMITER($)
LINHA 14: IDENTIFIER(limite)
LINHA 14: ASSIGN(=)
LINHA 14: INTEGER(10)
LINHA 14: DELIMITER($)
LINHA 15: IDENTIFIER(contador)
LINHA 15: ASSIGN(=)
LINHA 15: INTEGER(0)
LINHA 15: DELIMITER($)
LINHA 16: IDENTIFIER(preco)
LINHA 16: ASSIGN(=)
LINHA 16: REAL(149,90)
LINHA 16: DELIMITER($)
LINHA 17: IDENTIFIER(total)
LINHA 17: ASSIGN(=)
LINHA 17: REAL(0,0)
LINHA 17: DELIMITER($)
LINHA 25: KEYWORD(se)
LINHA 25: DELIMITER([)
LINHA 25: IDENTIFIER(estoque)
LINHA 25: OPERATOR(>=)
LINHA 25: IDENTIFIER(quantidade)
LINHA 25: DELIMITER(])
LINHA 25: KEYWORD(faz)
LINHA 25: DELIMITER({)
LINHA 26: IDENTIFIER(estoque)
LINHA 26: ASSIGN(=)
LINHA 26: IDENTIFIER(estoque)
LINHA 26: OPERATOR(-)
LINHA 26: IDENTIFIER(quantidade)
LINHA 26: DELIMITER($)
LINHA 27: IDENTIFIER(total)
LINHA 27: ASSIGN(=)
LINHA 27: IDENTIFIER(quantidade)
LINHA 27: OPERATOR(*)
LINHA 27: IDENTIFIER(preco)
LINHA 27: DELIMITER($)
LINHA 28: KEYWORD(mostre)
LINHA 28: DELIMITER(()
LINHA 28: STRING(’Produto: ’)
LINHA 28: DELIMITER())
LINHA 28: DELIMITER($)
LINHA 29: KEYWORD(mostre)
LINHA 29: DELIMITER(()
LINHA 29: IDENTIFIER(produto)
LINHA 29: DELIMITER())
LINHA 29: DELIMITER($)
LINHA 30: KEYWORD(mostre)
LINHA 30: DELIMITER(()
LINHA 30: STRING(’Valor total: ’)
LINHA 30: DELIMITER())
LINHA 30: DELIMITER($)
LINHA 31: KEYWORD(mostre)
LINHA 31: DELIMITER(()
LINHA 31: IDENTIFIER(total)
LINHA 31: DELIMITER())
LINHA 31: DELIMITER($)
LINHA 32: DELIMITER(})
LINHA 32: KEYWORD(senao)
LINHA 32: DELIMITER({)
LINHA 33: KEYWORD(mostre)
LINHA 33: DELIMITER(()
LINHA 33: STRING(’Estoque insuficiente.’)
