LINHA 1: KEYWORD(inicio)
LINHA 2: KEYWORD(inteiro)
LINHA 2: IDENTIFIER(idade)
LINHA 2: DELIMITER($)
LINHA 3: KEYWORD(inteiro)
LINHA 3: IDENTIFIER(dependentes)
LINHA 3: DELIMITER($)
LINHA 4: KEYWORD(real)
LINHA 4: IDENTIFIER(salario)
LINHA 4: DELIMITER($)
LINHA 5: KEYWORD(real)
LINHA 5: IDENTIFIER(bonus)
LINHA 5: DELIMITER($)
LINHA 6: KEYWORD(real)
LINHA 6: IDENTIFIER(salario_final)
LINHA 6: DELIMITER($)
LINHA 7: KEYWORD(texto)
LINHA 7: IDENTIFIER(nome)
LINHA 7: DELIMITER($)
LINHA 9: IDENTIFIER(nome)
LINHA 9: ASSIGN(=)
LINHA 9: STRING(’Maria’)
LINHA 9: DELIMITER($)
LINHA 10: IDENTIFIER(idade)
LINHA 10: ASSIGN(=)
LINHA 10: INTEGER(35)
LINHA 10: DELIMITER($)
LINHA 11: IDENTIFIER(dependentes)
LINHA 11: ASSIGN(=)
LINHA 11: INTEGER(2)
LINHA 11: DELIMITER($)
LINHA 13: IDENTIFIER(salario)
LINHA 13: ASSIGN(=)
LINHA 13: REAL(4500,00)
LINHA 13: DELIMITER($)
LINHA 14: IDENTIFIER(bonus)
LINHA 14: ASSIGN(=)
LINHA 14: IDENTIFIER(salario)
LINHA 14: OPERATOR(*)
LINHA 14: REAL(0,10)
LINHA 14: DELIMITER($)
LINHA 15: IDENTIFIER(salario_final)
LINHA 15: ASSIGN(=)
LINHA 15: IDENTIFIER(salario)
LINHA 15: OPERATOR(+)
LINHA 15: IDENTIFIER(bonus)
LINHA 15: DELIMITER($)
LINHA 17: KEYWORD(mostre)
LINHA 17: DELIMITER(()
LINHA 17: STRING(’Nome: ’)
LINHA 17: DELIMITER())
LINHA 17: DELIMITER($)
LINHA 18: KEYWORD(mostre)
LINHA 18: DELIMITER(()
LINHA 18: IDENTIFIER(nome)
LINHA 18: DELIMITER())
LINHA 18: DELIMITER($)
LINHA 19: KEYWORD(mostre)
LINHA 19: DELIMITER(()
LINHA 19: STRING(’Idade: ’)
LINHA 19: DELIMITER())
LINHA 19: DELIMITER($)
LINHA 20: KEYWORD(mostre)
LINHA 20: DELIMITER(()
LINHA 20: IDENTIFIER(idade)
LINHA 20: DELIMITER())
LINHA 20: DELIMITER($)
LINHA 21: KEYWORD(mostre)
LINHA 21: DELIMITER(()
LINHA 21: STRING(’Dependentes: ’)
LINHA 21: DELIMITER())
LINHA 21: DELIMITER($)
LINHA 22: KEYWORD(mostre)
LINHA 22: DELIMITER(()
LINHA 22: IDENTIFIER(dependentes)
LINHA 22: DELIMITER())
LINHA 22: DELIMITER($)
LINHA 23: KEYWORD(mostre)
LINHA 23: DELIMITER(()
LINHA 23: STRING(’Salario final: ’)
LINHA 23: DELIMITER())
LINHA 23: DELIMITER($)
LINHA 24: KEYWORD(mostre)
LINHA 24: DELIMITER(()
LINHA 24: IDENTIFIER(salario_final)
LINHA 24: DELIMITER())
LINHA 24: DELIMITER($)
LINHA 27: IDENTIFIER(salario_final)
LINHA 27: ASSIGN(=)
LINHA 27: IDENTIFIER(salario_final)
LINHA 27: OPERATOR(+)
LINHA 27: DELIMITER(()
LINHA 27: IDENTIFIER(dependentes)
LINHA 27: OPERATOR(*)
LINHA 27: REAL(150,00)
LINHA 27: DELIMITER())
LINHA 27: DELIMITER($)
LINHA 28: KEYWORD(mostre)
LINHA 28: DELIMITER(()
LINHA 28: STRING(’Salario com beneficio: ’)
LINHA 28: DELIMITER())
LINHA 28: DELIMITER($)
LINHA 29: KEYWORD(mostre)
LINHA 29: DELIMITER(()
LINHA 29: IDENTIFIER(salario_final)
LINHA 29: DELIMITER())
LINHA 29: DELIMITER($)
LINHA 30: KEYWORD(fim)
